name,cam,type,success,open,input_faces,output_faces,case_1,case_2,case_3,case_4,case_5,runtime,wso
bunny,000001,anim,True,False,42928,23412,0,0,1,4,0,3.759,1
bunny,000002,anim,True,False,42928,23448,0,0,3,0,0,3.802,1
bunny,000003,anim,True,False,42928,23638,0,0,2,0,0,3.687,1
bunny,000004,anim,True,False,42928,23666,0,0,0,2,0,3.725,1
bunny,000005,anim,True,False,42928,23674,0,0,0,0,0,3.639,1
bunny,000006,anim,True,False,42928,23584,0,0,1,0,0,3.929,1
bunny,000007,anim,True,False,42928,23388,0,0,0,0,0,3.8,1
bunny,000008,anim,True,False,42928,23080,0,0,0,0,0,3.64,1
bunny,000009,anim,True,False,42928,23322,0,0,1,0,0,3.518,1
bunny,000010,anim,True,False,42928,23204,0,0,0,2,0,3.575,1
bunny,000011,anim,True,False,42928,23030,0,0,0,0,0,3.67,1
bunny,000012,anim,True,False,42928,22562,0,0,0,0,0,3.666,1
bunny,000013,anim,True,False,42928,22686,0,0,0,0,0,3.645,1
bunny,000014,anim,True,False,42928,22764,0,0,0,0,0,3.546,1
bunny,000015,anim,True,False,42928,22452,4,0,1,0,0,3.857,1
bunny,000016,anim,True,False,42928,23260,0,0,1,0,1,3.847,1
bunny,000017,anim,True,False,42928,22890,0,0,0,2,0,3.801,1
bunny,000018,anim,True,False,42928,22972,0,0,0,2,0,3.914,1
bunny,000019,anim,True,False,42928,23506,0,0,2,4,0,3.76,1
bunny,000020,anim,True,False,42928,23132,0,0,2,0,0,3.702,1
bunny,000021,anim,True,False,42928,23302,0,0,1,4,0,3.742,1
bunny,000022,anim,True,False,42928,23486,0,0,0,2,0,3.661,1
bunny,000023,anim,True,False,42928,24142,0,0,1,2,0,3.815,1
bunny,000024,anim,True,False,42928,23332,0,0,0,0,0,3.744,1
bunny,000025,anim,True,False,42928,23208,0,0,0,0,0,3.677,1
bunny,000026,anim,True,False,42928,23680,0,0,1,0,0,3.599,1
bunny,000027,anim,True,False,42928,24114,0,0,1,0,0,3.628,1
bunny,000028,anim,True,False,42928,23890,0,0,1,4,0,3.834,1
bunny,000029,anim,True,False,42928,23492,0,0,0,0,0,4.038,1
bunny,000030,anim,True,False,42928,24834,0,0,0,2,0,4.11,1
bunny,000031,anim,True,False,42928,23478,0,1,2,0,0,3.953,1
bunny,000032,anim,True,False,42928,23608,0,0,1,4,0,3.958,1
bunny,000033,anim,True,False,42928,23200,0,0,0,0,0,3.762,1
bunny,000034,anim,True,False,42928,23532,0,0,0,2,0,4.153,1
bunny,000035,anim,True,False,42928,24014,0,0,2,2,0,4.144,1
bunny,000036,anim,True,False,42928,23650,0,0,1,0,0,4.264,1
bunny,000037,anim,True,False,42928,23088,0,0,0,2,0,3.858,1
bunny,000038,anim,True,False,42928,23074,0,0,1,0,0,3.952,1
bunny,000039,anim,True,False,42928,23356,0,0,0,2,0,4.047,1
bunny,000040,anim,True,False,42928,23374,0,0,1,2,0,4.174,1
bunny,000041,anim,True,False,42928,23388,0,0,1,2,0,4.097,1
bunny,000042,anim,True,False,42928,23662,0,0,1,0,0,3.804,1
bunny,000043,anim,True,False,42928,23584,0,0,0,2,0,4.003,1
bunny,000044,anim,True,False,42928,23510,0,0,1,2,0,4.195,1
bunny,000045,anim,True,False,42928,23586,0,0,1,0,0,4.188,1
bunny,000046,anim,True,False,42928,23188,0,0,0,0,0,4.228,1
bunny,000047,anim,True,False,42928,23296,0,0,1,0,0,4.017,1
