name,cam,type,success,open,input_faces,control_faces,output_faces,case_1,case_2,case_3,case_4,case_5,runtime,wso
bunny,000001,anim,True,False,42928,5378,11525,0,0,1,4,0,3.112,1
bunny,000002,anim,True,False,42928,5378,11313,0,0,3,0,0,3.231,1
bunny,000003,anim,True,False,42928,5378,11415,0,0,2,0,0,3.029,1
bunny,000004,anim,True,False,42928,5378,11756,0,0,0,2,0,2.975,1
bunny,000005,anim,True,False,42928,5378,11395,0,0,0,0,0,2.983,1
bunny,000006,anim,True,False,42928,5378,11378,0,0,1,0,0,3.068,1
bunny,000007,anim,True,False,42928,5378,11389,0,0,0,0,0,2.846,1
bunny,000008,anim,True,False,42928,5378,11348,0,0,0,0,0,2.894,1
bunny,000009,anim,True,False,42928,5378,11501,0,0,1,0,0,2.903,1
bunny,000010,anim,True,False,42928,5378,11294,0,0,0,2,0,2.938,1
bunny,000011,anim,True,False,42928,5378,11394,0,0,0,0,0,2.969,1
bunny,000012,anim,True,False,42928,5378,11129,0,0,0,0,0,3.029,1
bunny,000013,anim,True,False,42928,5378,11266,0,0,0,0,0,2.999,1
bunny,000014,anim,True,False,42928,5378,11229,0,0,0,0,0,2.798,1
bunny,000015,anim,True,False,42928,5378,11088,0,0,1,0,0,2.931,1
bunny,000016,anim,True,False,42928,5378,11154,0,0,1,0,1,2.941,1
bunny,000017,anim,True,False,42928,5378,11098,0,0,0,2,0,2.921,1
bunny,000018,anim,True,False,42928,5378,11044,0,0,0,2,0,3.079,1
bunny,000019,anim,True,False,42928,5378,11339,0,0,2,4,0,3.157,1
bunny,000020,anim,True,False,42928,5378,11151,0,0,2,0,0,3.018,1
bunny,000021,anim,True,False,42928,5378,11362,0,0,1,4,0,3.036,1
bunny,000022,anim,True,False,42928,5378,11436,0,0,0,2,0,2.982,1
bunny,000023,anim,True,False,42928,5378,11883,0,0,1,2,0,2.962,1
bunny,000024,anim,True,False,42928,5378,11412,0,0,0,0,0,3.002,1
bunny,000025,anim,True,False,42928,5378,11450,0,0,0,0,0,3.14,1
bunny,000026,anim,True,False,42928,5378,11362,0,0,1,0,0,3.08,1
bunny,000027,anim,True,False,42928,5378,11486,0,0,1,0,0,2.974,1
bunny,000028,anim,True,False,42928,5378,11596,0,0,1,4,0,3.006,1
bunny,000029,anim,True,False,42928,5378,11544,0,0,0,0,0,3.098,1
bunny,000030,anim,True,False,42928,5378,11832,0,0,0,2,0,3.314,1
bunny,000031,anim,True,False,42928,5378,11440,0,1,2,0,0,3.162,1
bunny,000032,anim,True,False,42928,5378,11633,0,0,1,4,0,3.199,1
bunny,000033,anim,True,False,42928,5378,11276,0,0,0,0,0,3.028,1
bunny,000034,anim,True,False,42928,5378,11489,0,0,0,2,0,3.37,1
bunny,000035,anim,True,False,42928,5378,11551,0,0,2,2,0,3.333,1
bunny,000036,anim,True,False,42928,5378,11705,0,0,1,0,0,3.555,1
bunny,000037,anim,True,False,42928,5378,11351,0,0,0,2,0,3.246,1
bunny,000038,anim,True,False,42928,5378,11416,0,0,1,0,0,3.195,1
bunny,000039,anim,True,False,42928,5378,11757,0,0,0,2,0,3.291,1
bunny,000040,anim,True,False,42928,5378,11482,0,0,1,2,0,3.293,1
bunny,000041,anim,True,False,42928,5378,11389,0,0,1,2,0,3.294,1
bunny,000042,anim,True,False,42928,5378,11561,0,0,1,0,0,3.31,1
bunny,000043,anim,True,False,42928,5378,11463,0,0,0,2,0,3.531,1
bunny,000044,anim,True,False,42928,5378,11532,0,0,1,2,0,3.445,1
bunny,000045,anim,True,False,42928,5378,11380,0,0,1,0,0,3.312,1
bunny,000046,anim,True,False,42928,5378,11559,0,0,0,0,0,3.584,1
bunny,000047,anim,True,False,42928,5378,11578,0,0,1,0,0,3.581,1
bunny,000048,anim,True,False,42928,5378,11751,0,0,0,6,0,3.857,1
bunny,000049,anim,True,False,42928,5378,11662,0,0,2,2,0,3.53,1
bunny,000050,anim,True,False,42928,5378,11280,0,0,1,8,0,3.644,1
bunny,000051,anim,True,False,42928,5378,11540,0,0,1,8,0,3.657,1
bunny,000052,anim,True,False,42928,5378,11046,0,0,2,4,0,3.559,1
bunny,000053,anim,True,False,42928,5378,11306,0,0,2,6,0,3.456,1
bunny,000054,anim,True,False,42928,5378,11407,0,0,4,4,0,3.416,1
bunny,000055,anim,True,False,42928,5378,11357,0,0,0,4,0,3.299,1
bunny,000056,anim,True,False,42928,5378,11066,0,0,4,4,0,3.483,1
bunny,000057,anim,True,False,42928,5378,10916,0,0,1,4,0,3.365,1
bunny,000058,anim,True,False,42928,5378,10788,0,0,1,2,0,3.261,1
bunny,000059,anim,True,False,42928,5378,10821,0,0,0,4,0,3.368,1
bunny,000060,anim,True,False,42928,5378,11157,0,0,2,2,0,3.315,1
bunny,000061,anim,True,False,42928,5378,11258,0,0,2,4,0,3.582,1
bunny,000062,anim,True,False,42928,5378,11248,0,0,0,2,0,3.58,1
bunny,000063,anim,True,False,42928,5378,11434,0,0,1,0,0,3.923,1
bunny,000064,anim,True,False,42928,5378,11419,0,0,2,0,0,3.656,1
bunny,000065,anim,True,False,42928,5378,11545,0,0,1,4,0,3.618,1
bunny,000066,anim,True,False,42928,5378,11387,0,0,1,0,0,3.584,1
bunny,000067,anim,True,False,42928,5378,11129,0,0,1,2,0,3.786,1
bunny,000068,anim,True,False,42928,5378,11288,0,0,0,0,0,3.592,1
bunny,000069,anim,True,False,42928,5378,11482,0,0,1,2,0,3.535,1
bunny,000070,anim,True,False,42928,5378,11563,0,0,2,2,0,3.917,1
bunny,000071,anim,True,False,42928,5378,11270,0,0,1,0,0,3.743,1
bunny,000072,anim,True,False,42928,5378,11276,0,0,1,0,0,3.883,1
bunny,000073,anim,True,False,42928,5378,11325,0,0,3,2,0,3.792,1
bunny,000074,anim,True,False,42928,5378,11304,0,0,0,0,0,3.805,1
bunny,000075,anim,True,False,42928,5378,11349,0,0,0,0,0,3.81,1
bunny,000076,anim,True,False,42928,5378,11049,0,0,0,0,0,3.606,1
bunny,000077,anim,True,False,42928,5378,11153,0,0,0,2,0,3.728,1
bunny,000078,anim,True,False,42928,5378,11889,0,0,2,2,0,3.725,1
bunny,000079,anim,True,False,42928,5378,12112,0,0,1,6,0,3.837,1
bunny,000080,anim,True,False,42928,5378,11927,0,0,1,0,0,3.996,1
bunny,000081,anim,True,False,42928,5378,12097,0,0,2,2,0,4.026,1
bunny,000082,anim,True,False,42928,5378,12064,0,0,2,4,0,3.95,1
bunny,000083,anim,True,False,42928,5378,12738,0,0,0,4,0,4.513,1
bunny,000084,anim,True,False,42928,5378,12136,0,0,4,0,0,4.491,1
bunny,000085,anim,True,False,42928,5378,11942,0,0,0,2,0,4.131,1
bunny,000086,anim,True,False,42928,5378,12506,0,0,2,2,0,4.318,1
bunny,000087,anim,True,False,42928,5378,12455,0,0,3,3,0,4.31,1
bunny,000088,anim,True,False,42928,5378,12175,0,0,1,0,1,4.364,1
bunny,000089,anim,True,False,42928,5378,12322,0,0,1,8,0,4.424,1
bunny,000090,anim,True,False,42928,5378,12367,0,0,2,6,0,4.2,1
bunny,000091,anim,True,False,42928,5378,11900,0,0,2,4,0,4.134,1
bunny,000092,anim,True,False,42928,5378,11796,0,0,1,2,0,4.215,1
bunny,000093,anim,True,False,42928,5378,12056,0,0,1,0,0,4.0,1
bunny,000094,anim,True,False,42928,5378,11845,0,0,0,2,0,3.861,1
bunny,000095,anim,True,False,42928,5378,11971,0,0,3,6,0,3.934,1
bunny,000096,anim,True,False,42928,5378,11783,0,0,1,2,0,3.773,1
bunny,000097,anim,True,False,42928,5378,11999,0,0,3,7,0,3.995,1
bunny,000098,anim,True,False,42928,5378,12426,0,0,1,6,1,3.819,1
bunny,000099,anim,True,False,42928,5378,12300,0,2,2,14,0,4.156,1
bunny,000100,anim,True,False,42928,5378,12537,0,0,2,6,0,4.19,1
bunny,000101,anim,True,False,42928,5378,11948,0,0,1,2,0,4.554,1
bunny,000102,anim,True,False,42928,5378,12601,0,0,1,6,0,4.163,1
bunny,000103,anim,True,False,42928,5378,12153,0,0,2,8,0,4.184,1
bunny,000104,anim,True,False,42928,5378,12674,0,0,1,11,0,4.027,1
bunny,000105,anim,True,False,42928,5378,12194,0,0,2,4,0,3.878,1
bunny,000106,anim,True,False,42928,5378,11052,9,0,4,2,0,3.922,1
bunny,000107,anim,True,False,42928,5378,12173,0,1,3,0,0,3.662,1
