Input,Success count,Input count,Input faces,Output faces,Runtime,Case 1,Case 2,Case 3,Case 4,Case 5,Trial count
BSoD-ItCA-final,120,120,41731.2,10824.458333333334,4.540699999999998,0.125,0.0,0.18333333333333332,1.725,0.05,1/110;2/9;3/1;
bunny,400,400,43249.96,23860.93,4.456157500000001,0.0725,0.015,1.1125,2.185,0.0575,1/399;2/1;
Angela,150,150,79152.0,26720.446666666667,11.098800000000004,0.37333333333333335,0.06666666666666667,1.68,6.8933333333333335,0.21333333333333335,1/108;2/40;3/2;
cube,26,26,48.0,310.7692307692308,0.02196153846153847,0.0,0.0,0.0,0.0,0.0,1/26;
twoSpheres,26,26,96.0,702.0,0.048807692307692316,0.0,0.0,0.0,0.0,0.0,1/26;
tent,26,26,121.84615384615384,392.88461538461536,0.03780769230769232,0.0,0.0,0.0,0.0,0.0,1/24;2/1;3/1;
bump,26,26,128.0,598.0769230769231,0.03757692307692309,0.0,0.0,0.0,0.46153846153846156,0.0,1/26;
Pentagon,26,26,144.0,1030.5384615384614,0.05707692307692309,0.0,0.0,0.0,0.0,0.0,1/26;
Hexagon,26,26,168.0,1222.1538461538462,0.06596153846153847,0.0,0.0,0.0,0.0,0.0,1/26;
pipes,26,26,214.15384615384616,1269.4615384615386,0.11446153846153846,0.0,0.0,0.0,0.0,0.0,1/25;2/1;
torus_quad_v1,26,26,256.0,1592.8461538461538,0.10523076923076925,0.0,0.0,0.0,0.0,0.0,1/26;
torus_quad_v2,26,26,256.0,1592.8461538461538,0.10457692307692307,0.0,0.0,0.0,0.0,0.0,1/26;
boxes,26,26,303.38461538461536,1974.0,0.10642307692307693,0.0,0.0,0.0,0.0,0.0,1/25;2/1;
helmet,26,26,464.0,2018.2692307692307,0.1223076923076923,0.07692307692307693,0.0,0.15384615384615385,1.3846153846153846,0.0,1/26;
ribbon_open,26,26,608.0,3065.423076923077,0.24465384615384617,0.0,0.0,0.0,0.15384615384615385,0.0,1/26;
ribbon_closed,26,26,624.0,3161.153846153846,0.24838461538461531,0.0,0.0,0.0,0.0,0.0,1/26;
sphereB,26,26,768.0,3835.153846153846,0.1361153846153846,0.0,0.0,0.0,0.0,0.0,1/26;
bump_fine,26,26,768.0,2660.153846153846,0.3493076923076923,0.0,0.0,0.0,0.0,0.0,1/26;
split,26,26,768.0,4368.461538461538,0.18219230769230774,0.0,0.0,0.0,0.0,0.0,1/26;
stage_uShaped,26,26,1392.0,15578.0,1.1597692307692307,0.0,0.0,0.0,0.0,0.0,1/26;
